Total threads number is 1
Thread test/fileTest2 is executing.
PC:0x2a4 Instruction:0x8fc30020
PC:0x2a8 Instruction:0x27c40010
PC:0x2ac Instruction:0x00831821
PC:0x2b0 Instruction:0x80420000
PC:0x2b4 Instruction:0x80630000
PC:0x2b8 Instruction:0x00000000
PC:0x2bc Instruction:0x10430004
PC:0x2c0 Instruction:0x00000000
PC:0x2d0 Instruction:0x8fc20020
PC:0x2d4 Instruction:0x00000000
PC:0x2d8 Instruction:0x24430001
PC:0x2dc Instruction:0x0800009d
PC:0x2e0 Instruction:0xafc30020
PC:0x274 Instruction:0x8fc20020
PC:0x278 Instruction:0x8fc3002c
PC:0x27c Instruction:0x00000000
PC:0x280 Instruction:0x0043102a
PC:0x284 Instruction:0x14400003
PC:0x288 Instruction:0x00000000
PC:0x294 Instruction:0x27c20030
PC:0x298 Instruction:0x8fc30020
PC:0x29c Instruction:0x00000000
PC:0x2a0 Instruction:0x00431021
PC:0x2a4 Instruction:0x8fc30020
PC:0x2a8 Instruction:0x27c40010
PC:0x2ac Instruction:0x00831821
PC:0x2b0 Instruction:0x80420000
PC:0x2b4 Instruction:0x80630000
PC:0x2b8 Instruction:0x00000000
PC:0x2bc Instruction:0x10430004
PC:0x2c0 Instruction:0x00000000
PC:0x2d0 Instruction:0x8fc20020
PC:0x2d4 Instruction:0x00000000
PC:0x2d8 Instruction:0x24430001
PC:0x2dc Instruction:0x0800009d
PC:0x2e0 Instruction:0xafc30020
PC:0x274 Instruction:0x8fc20020
PC:0x278 Instruction:0x8fc3002c
PC:0x27c Instruction:0x00000000
PC:0x280 Instruction:0x0043102a
PC:0x284 Instruction:0x14400003
PC:0x288 Instruction:0x00000000
PC:0x294 Instruction:0x27c20030
PC:0x298 Instruction:0x8fc30020
PC:0x29c Instruction:0x00000000
PC:0x2a0 Instruction:0x00431021
PC:0x2a4 Instruction:0x8fc30020
PC:0x2a8 Instruction:0x27c40010
PC:0x2ac Instruction:0x00831821
PC:0x2b0 Instruction:0x80420000
PC:0x2b4 Instruction:0x80630000
PC:0x2b8 Instruction:0x00000000
PC:0x2bc Instruction:0x10430004
PC:0x2c0 Instruction:0x00000000
PC:0x2d0 Instruction:0x8fc20020
PC:0x2d4 Instruction:0x00000000
PC:0x2d8 Instruction:0x24430001
PC:0x2dc Instruction:0x0800009d
PC:0x2e0 Instruction:0xafc30020
PC:0x274 Instruction:0x8fc20020
PC:0x278 Instruction:0x8fc3002c
PC:0x27c Instruction:0x00000000
PC:0x280 Instruction:0x0043102a
PC:0x284 Instruction:0x14400003
PC:0x288 Instruction:0x00000000
PC:0x294 Instruction:0x27c20030
PC:0x298 Instruction:0x8fc30020
PC:0x29c Instruction:0x00000000
PC:0x2a0 Instruction:0x00431021
PC:0x2a4 Instruction:0x8fc30020
PC:0x2a8 Instruction:0x27c40010
PC:0x2ac Instruction:0x00831821
PC:0x2b0 Instruction:0x80420000
PC:0x2b4 Instruction:0x80630000
PC:0x2b8 Instruction:0x00000000
PC:0x2bc Instruction:0x10430004
PC:0x2c0 Instruction:0x00000000
PC:0x2d0 Instruction:0x8fc20020
PC:0x2d4 Instruction:0x00000000
PC:0x2d8 Instruction:0x24430001
PC:0x2dc Instruction:0x0800009d
PC:0x2e0 Instruction:0xafc30020
PC:0x274 Instruction:0x8fc20020
PC:0x278 Instruction:0x8fc3002c
PC:0x27c Instruction:0x00000000
PC:0x280 Instruction:0x0043102a
PC:0x284 Instruction:0x14400003
PC:0x288 Instruction:0x00000000
PC:0x294 Instruction:0x27c20030
PC:0x298 Instruction:0x8fc30020
PC:0x29c Instruction:0x00000000
